StreetA,LatA,LonA,StreetB,LatB,LonB,Distance
2ND ST NW,38.9705820639098,-77.01284912398656,2ND ST NW,38.8927602814421,-77.01363664463423,223.91
2ND ST NW,38.8927602814421,-77.01363664463423,2ND ST NW,38.89888539075147,-77.01365060966387,3.97
2ND ST NW,38.89888539075147,-77.01365060966387,2ND ST NW,38.954925983213506,-77.01356904069617,23.22
2ND ST NW,38.954925983213506,-77.01356904069617,3RD ST NW,38.95996830281558,-77.01606849165212,710.81
3RD ST NW,38.95996830281558,-77.01606849165212,3RD ST NW,38.91099302052039,-77.01518316877595,251.76
3RD ST NW,38.91099302052039,-77.01518316877595,3RD ST NW,38.89617300266064,-77.0151945579035,3.24
3RD ST NW,38.89617300266064,-77.0151945579035,3RD ST NW,38.91472270347261,-77.01573416412054,153.58
3RD ST NW,38.91472270347261,-77.01573416412054,3RD ST NW,38.94267996175425,-77.01543305586294,85.68
3RD ST NW,38.94267996175425,-77.01543305586294,4TH ST NW,38.95223653468996,-77.01759998894057,616.35
4TH ST NW,38.95223653468996,-77.01759998894057,4TH ST NW,38.89091458513623,-77.01756274913272,10.59
4TH ST NW,38.89091458513623,-77.01756274913272,4TH ST NW,38.900999762867954,-77.01618189707473,393.05
4TH ST NW,38.900999762867954,-77.01618189707473,4 1/2 ST NW,38.901930165947405,-77.01765874328389,420.31
4 1/2 ST NW,38.901930165947405,-77.01765874328389,4TH ST NW,38.9089173392505,-77.0161779660002,421.43
4TH ST NW,38.9089173392505,-77.0161779660002,4TH ST NW,38.91173464091003,-77.01616911958743,2.52
4TH ST NW,38.91173464091003,-77.01616911958743,4TH ST NW,38.97234309131303,-77.01803001575266,529.54
4TH ST NW,38.97234309131303,-77.01803001575266,5TH ST NW,38.93998924326581,-77.01910336364054,305.17
5TH ST NW,38.93998924326581,-77.01910336364054,5TH ST NW,38.95977585854305,-77.01977753738072,191.77
5TH ST NW,38.95977585854305,-77.01977753738072,5TH ST NW,38.90490920644883,-77.0189305607276,240.85
5TH ST NW,38.90490920644883,-77.0189305607276,6TH ST NW,38.90430964551883,-77.01991387317685,279.84
6TH ST NW,38.90430964551883,-77.01991387317685,6TH ST NW,38.968613600549666,-77.02116621043572,356.4
6TH ST NW,38.968613600549666,-77.02116621043572,6TH ST NW,38.96003019228181,-77.02117263838447,1.83
6TH ST NW,38.96003019228181,-77.02117263838447,6TH ST NW,38.97259338612494,-77.0214194291767,70.18
6TH ST NW,38.97259338612494,-77.0214194291767,7TH ST NW,38.97706441866856,-77.02294470567107,433.66
7TH ST NW,38.97706441866856,-77.02294470567107,7TH ST NW,38.9029531498696,-77.02191739263029,292.06
7TH ST NW,38.9029531498696,-77.02191739263029,7TH ST NW,38.941905443782,-77.02162143591529,84.23
7TH ST NW,38.941905443782,-77.02162143591529,7TH ST NW,38.95958104722322,-77.02231929057399,198.5
7TH ST NW,38.95958104722322,-77.02231929057399,7TH ST NW,38.98047106174298,-77.02350845322195,338.16
7TH ST NW,38.98047106174298,-77.02350845322195,8TH ST NW,38.91406301551208,-77.0229526723277,158.0
8TH ST NW,38.91406301551208,-77.0229526723277,8TH ST NW,38.896009177694,-77.02296046984358,2.22
8TH ST NW,38.896009177694,-77.02296046984358,8TH ST NW,38.937143281654336,-77.02311638025948,44.38
8TH ST NW,38.937143281654336,-77.02311638025948,8TH ST NW,38.95471645786264,-77.02386541056967,213.07
